"Codice Ruolo","Descrizione Ruolo","Dipartimento di riferimento","SSD","Sett Conc Gsd","Numero Docenti"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","ECON-09/B","13/ECON-09","1"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-05/A","12/GIUR-05","1"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","GIUR-15/A","12/GIUR-15","1"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","STAT-01/A","13/STAT-01","1"
"PO","Professori Ordinari","Dipartimento di Studi per l'Economia e l'Impresa","STAT-04/A","13/STAT-04","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","ANGL-01/A","10/ANGL-01","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","FRAN-01/A","10/FRAN-01","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","GERM-01/C","10/GERM-01","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","GLOT-01/A","10/GLOT-01","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","ITAL-01/A","10/ITAL-01","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","PHIL-02/A","11/PHIL-02","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","PHIL-02/B","11/PHIL-02","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","PHIL-03/A","11/PHIL-03","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","PHIL-05/A","11/PHIL-05","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","SPAN-01/A","10/SPAN-01","1"
"PO","Professori Ordinari","Dipartimento di Studi Umanistici","SPAN-01/C","10/SPAN-01","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-02/A","05/BIOS-02","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-03/A","05/BIOS-03","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","BIOS-07/A","05/BIOS-07","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","CHEM-03/A","03/CHEM-03","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","ECON-02/A","13/ECON-02","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","ECON-06/A","13/ECON-06","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GEOS-04/C","04/GEOS-04","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","GIUR-06/A","12/GIUR-06","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","HIST-02/A","11/HIST-02","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","INFO-01/A","01/INFO-01","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","MEDS-24/B","06/MEDS-24","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","PHIL-04/B","11/PHIL-04","1"
"PO","Professori Ordinari","Dipartimento per lo Sviluppo Sostenibile e la Transizione Ecologica","PHYS-01/A","02/PHYS-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-01/A","13/ECON-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-03/A","13/ECON-03","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","ECON-04/A","13/ECON-04","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-01/A","12/GIUR-01","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-04/A","12/GIUR-04","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-05/A","12/GIUR-05","2"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-07/A","12/GIUR-07","1"
"RD","Ricercatori Legge 240/10 - t. det.","Dipartimento di Giurisprudenza e Scienze Politiche, Economiche e Sociali","GIUR-14/A","12/GIUR-14","1"
